Probe,Female CBZ C1,Female CBZ C2,Female CBZ C3,Female CBZ L1,Female CBZ L2,Female CBZ  L3,Female CBZ H1,Female CBZ H2,Female CBZ H3
A_15_P100255,0,0,0,1,1,1,1,1,1
A_15_P100256,0,0,0,1,1,1,1,1,1
A_15_P100257,0,0,0,1,1,1,1,1,1
A_15_P100260,0,0,0,1,1,1,1,1,1
A_15_P100261,0,0,0,1,1,1,1,1,1
A_15_P100265,0,0,0,1,1,1,1,1,1
A_15_P100268,0,0,0,1,1,1,1,1,1
A_15_P100269,0,0,0,1,1,1,1,1,1
A_15_P100270,0,0,0,1,1,1,1,1,1
A_15_P100271,0,0,0,1,1,1,1,1,1
A_15_P100272,0,0,0,1,1,1,1,1,1
A_15_P100277,0,0,0,1,1,1,1,1,1
A_15_P100279,0,0,0,1,1,1,1,1,1
A_15_P100284,0,0,0,1,1,1,1,1,1
A_15_P100286,0,0,0,1,1,1,1,1,1
A_15_P100288,0,0,0,1,1,1,1,1,1
A_15_P100291,0,0,0,1,1,1,1,1,1
A_15_P100292,0,0,0,1,1,1,1,1,1
A_15_P100293,0,0,0,1,1,1,1,1,1
A_15_P100294,0,0,0,1,1,1,1,1,1
A_15_P100296,0,0,0,1,1,1,1,1,1
A_15_P100297,0,0,0,1,1,1,1,1,1
A_15_P100299,0,0,0,1,1,1,1,1,1
A_15_P100301,0,0,0,1,1,1,1,1,1
A_15_P100302,0,0,0,1,1,1,1,1,1
A_15_P100305,0,0,0,1,1,1,1,1,1
A_15_P100307,0,0,0,1,1,1,1,1,1
A_15_P100309,0,0,0,1,1,1,1,1,1
A_15_P100312,0,0,0,1,1,1,1,1,1
A_15_P100314,0,0,0,1,1,1,1,1,1
A_15_P100316,0,0,0,1,1,1,1,1,1
A_15_P100319,0,0,0,1,1,1,1,1,1
A_15_P100320,0,0,0,1,1,1,1,1,1
A_15_P100321,0,0,0,1,1,1,1,1,1
A_15_P100324,0,0,0,1,1,1,1,1,1
A_15_P100327,0,0,0,1,1,1,1,1,1
A_15_P100328,0,0,0,1,1,1,1,1,1
A_15_P100329,0,0,0,1,1,1,1,1,1
A_15_P100330,0,0,0,1,1,1,1,1,1
A_15_P100331,0,0,0,1,1,1,1,1,1
A_15_P100332,0,0,0,1,1,1,1,1,1
A_15_P100333,0,0,0,1,1,1,1,1,1
A_15_P100334,0,0,0,1,1,1,1,1,1
A_15_P100335,0,0,0,1,1,1,1,1,1
A_15_P100336,0,0,0,1,1,1,1,1,1
A_15_P100337,0,0,0,1,1,1,1,1,1
A_15_P100339,0,0,0,1,1,1,1,1,1
A_15_P100345,0,0,0,1,1,1,1,1,1
A_15_P100347,0,0,0,1,1,1,1,1,1
A_15_P100352,0,0,0,1,1,1,1,1,1
A_15_P100357,0,0,0,1,1,1,1,1,1
A_15_P100358,0,0,0,1,1,1,1,1,1
A_15_P100359,0,0,0,1,1,1,1,1,1
A_15_P100360,0,0,0,1,1,1,1,1,1
A_15_P100365,0,0,0,1,1,1,1,1,1
A_15_P100366,0,0,0,1,1,1,1,1,1
A_15_P100368,0,0,0,1,1,1,1,1,1
A_15_P100369,0,0,0,1,1,1,1,1,1
A_15_P100371,0,0,0,1,1,1,1,1,1
A_15_P100372,0,0,0,1,1,1,1,1,1
A_15_P100376,0,0,0,1,1,1,1,1,1
A_15_P100379,0,0,0,1,1,1,1,1,1
A_15_P100380,0,0,0,1,1,1,1,1,1
A_15_P100382,0,0,0,1,1,1,1,1,1
A_15_P100384,0,0,0,1,1,1,1,1,1
A_15_P100387,0,0,0,1,1,1,1,1,1
A_15_P100390,0,0,0,1,1,1,1,1,1
A_15_P100394,0,0,0,1,1,1,1,1,1
A_15_P100396,0,0,0,1,1,1,1,1,1
A_15_P100397,0,0,0,1,1,1,1,1,1
A_15_P100398,0,0,0,1,1,1,1,1,1
A_15_P100399,0,0,0,1,1,1,1,1,1
A_15_P100401,0,0,0,1,1,1,1,1,1
A_15_P100405,0,0,0,1,1,1,1,1,1
A_15_P100407,0,0,0,1,1,1,1,1,1
A_15_P100408,0,0,0,1,1,1,1,1,1
A_15_P100409,0,0,0,1,1,1,1,1,1
A_15_P100410,0,0,0,1,1,1,1,1,1
